店舗kintone,経度,緯度,DM店舗名,住所,shop_id,アナスロ店舗名,都道府県,ホールナビ店舗名
P12546,143.835931,43.8075061,マルハン北見店,北海道北見市大正９９番地２５,12948,マルハン北見店,北海道,マルハン北見店
P05037,138.458192,35.6947719,ABC韮崎竜岡店,山梨県韮崎市龍岡町若尾新田833-1,5037,ABC韮崎竜岡店,山梨県,ABC韮崎竜岡店
P04674,139.631207,35.5848518,ヒノマルパチンコ新城店,神奈川県川崎市中原区新城1-12-16,4674,ムサシホール,神奈川県,ムサシホール
P04674,139.631207,35.5848518,ヒノマルパチンコ新城店,神奈川県川崎市中原区新城1-12-16,4674,ヒノマル新城店スロット館,神奈川県,ムサシホール
P04674,139.631207,35.5848518,ヒノマルパチンコ新城店,神奈川県川崎市中原区新城1-12-16,4674,ヒノマル新城店スロット館,神奈川県,ムサシホール
P03243,138.836321,36.306021,ダイナム群馬安中店,群馬県安中市郷原字中村686番地１,3243,ダイナム安中店,群馬県,ダイナム安中店
P02136,140.879498,38.2621196,アムズガーデン仙台駅前店,宮城県仙台市青葉区中央1-7-10,2136,アムズガーデン仙台駅前店,宮城県,アムズガーデン仙台駅前店
P00348,139.699586,35.6591875,エスパス日拓渋谷本館,東京都渋谷区道玄坂2-5-2,348,エスパス日拓渋谷本館,東京都,エスパス日拓渋谷本館
P01147,141.478864,43.047429,プレイランドハッピー厚別店,北海道札幌市厚別区厚別東5条2丁目7番37号,1147,プレイランドハッピー厚別店,北海道,プレイランドハッピー厚別店
P10573,130.733179,33.874021,ベルエアMAX本城店,福岡県北九州市八幡西区本城東4-5-3,10573,ベルエアMAX本城店,福岡県,ベルエアMAX本城店
P08976,137.463582,36.8892003,キングオブノースランド黒部店,富山県黒部市沓掛642,8976,KING OF NORTHLAND黒部店,富山県,KING OF NORTHLAND富山店
P08976,137.463582,36.8892003,キングオブノースランド黒部店,富山県黒部市沓掛642,8976,KING OF NORTHLAND黒部店,富山県,KING OF NORTHLAND黒部店
P02983,139.808032,36.3187704,MGM小山本郷店,栃木県小山市本郷町3-2590-17,2983,MGM小山本郷店,栃木県,MGM小山本郷店
P05181,137.708376,34.6948249,セブンラック若林店,静岡県浜松市南区若林町2525,5181,セブンラック若林店,静岡県,セブンラック若林店
